Tag,Simple Value
train/loss,0.08946000039577484
train/loss,0.08880999684333801
train/loss,0.08959999680519104
train/loss,0.08810999989509583
train/loss,0.08797000348567963
train/loss,0.08709000051021576
train/loss,0.08698000013828278
train/loss,0.08730000257492065
train/loss,0.0873899981379509
train/loss,0.0869000032544136
train/loss,0.08681000024080276
train/loss,0.08619999885559082
train/loss,0.0862400010228157
train/loss,0.08631999790668488
train/loss,0.08602999895811081
train/loss,0.08562000095844269
train/loss,0.08563999831676483
train/loss,0.08580999821424484
train/loss,0.08562999963760376
train/loss,0.08586999773979187
train/loss,0.08594000339508057
train/loss,0.08603999763727188
train/loss,0.08591999858617783
train/loss,0.08586999773979187
train/loss,0.08575999736785889
train/loss,0.08581999689340591
train/loss,0.08579999953508377
train/loss,0.08590000122785568
train/loss,0.08598999679088593
train/loss,0.08602000027894974
train/loss,0.08583000302314758
train/loss,0.08573000133037567
train/loss,0.0856499969959259
train/loss,0.08546999841928482
train/loss,0.08550000190734863
train/loss,0.08541999757289886
train/loss,0.08541999757289886
train/loss,0.08547999709844589
train/loss,0.08557000011205673
train/loss,0.08545999974012375
train/loss,0.08538000285625458
train/loss,0.08534999936819077
train/loss,0.08546999841928482
train/loss,0.08556000143289566
train/loss,0.08570999652147293
train/loss,0.08583000302314758
train/loss,0.08568999916315079
train/loss,0.0857200026512146
train/loss,0.08567000180482864
train/loss,0.08562000095844269
train/loss,0.0855799987912178
train/loss,0.08562999963760376
train/loss,0.0855100005865097
train/loss,0.0855100005865097
train/loss,0.08545999974012375
train/loss,0.08549000322818756
train/loss,0.0855100005865097
train/loss,0.08553999662399292
train/loss,0.08558999747037888
train/loss,0.08556000143289566
train/loss,0.08558999747037888
train/loss,0.08561000227928162
train/loss,0.08563999831676483
train/loss,0.0857200026512146
train/loss,0.08573000133037567
train/loss,0.08570999652147293
train/loss,0.0857900008559227
train/loss,0.08570999652147293
train/loss,0.08563999831676483
train/loss,0.08562999963760376
train/loss,0.08573000133037567
train/loss,0.08573000133037567
train/loss,0.08579999953508377
train/loss,0.08585000038146973
train/loss,0.08583000302314758
train/loss,0.0857900008559227
train/loss,0.08579999953508377
train/loss,0.0857900008559227
train/loss,0.08579999953508377
train/loss,0.08579999953508377
train/loss,0.08585000038146973
train/loss,0.08579999953508377
train/loss,0.0857200026512146
